observation_date,house_affordability_index,consumer_sentiment,consumer_price_index_rent,real_disposable_income,median_household_income,mortgage_rates,mortgage_rates_change
2000-01-01,127.5,112.0,180.9,9307.1,62512.0,8.21,3.2704402515723356
2000-02-01,126.6,111.3,181.3,9342.6,62396.0,8.33,1.4616321559074203
2000-03-01,125.1,107.1,181.9,9366.5,62281.0,8.24,-1.080432172869146
2000-04-01,124.1,109.2,182.3,9409.7,62166.0,8.15,-1.092233009708736
2000-05-01,121.0,110.7,182.8,9446.4,62050.0,8.51,4.417177914110423
2000-06-01,118.4,106.4,183.4,9469.6,61934.0,8.29,-2.5851938895417232
2000-07-01,117.0,108.3,184.1,9516.6,61819.0,8.15,-1.688781664656198
2000-08-01,119.3,107.3,184.8,9568.5,61704.0,8.03,-1.472392638036822
2000-09-01,120.3,106.8,185.4,9569.8,61588.0,7.91,-1.4943960149439506
2000-10-01,124.6,105.8,186.1,9582.9,61472.0,7.8,-1.390644753476616
2000-11-01,125.0,107.6,186.7,9579.0,61357.0,7.74,-0.7692307692307643
2000-12-01,126.4,98.4,187.4,9595.3,61242.0,7.38,-4.651162790697678
2001-01-01,134.7,94.7,188.0,9651.9,61126.0,7.03,-4.74254742547425
2001-02-01,135.2,90.6,188.7,9668.6,61068.0,7.05,0.2844950213371205
2001-03-01,131.6,91.5,189.5,9697.2,61011.0,6.95,-1.4184397163120517
2001-04-01,132.3,88.4,190.2,9670.8,60953.0,7.08,1.8705035971223005
2001-05-01,128.6,92.0,191.1,9648.1,60896.0,7.14,0.8474576271186386
2001-06-01,122.9,92.6,191.8,9648.3,60838.0,7.16,0.28011204481793367
2001-07-01,123.4,92.4,192.5,9790.6,60780.0,7.13,-0.4189944134078247
2001-08-01,124.7,91.5,193.2,9958.9,60723.0,6.95,-2.524544179523138
2001-09-01,129.7,81.8,194.0,9886.1,60665.0,6.82,-1.8705035971223005
2001-10-01,134.8,82.7,194.7,9732.3,60608.0,6.62,-2.932551319648096
2001-11-01,134.9,83.9,195.4,9754.3,60550.0,6.66,0.6042296072507558
2001-12-01,127.3,88.8,196.2,9774.4,60493.0,7.06,6.006006006005998
2002-01-01,128.2,93.0,196.8,9968.3,60435.0,7.0,-0.8498583569405044
2002-02-01,129.2,90.7,197.5,9976.4,60429.0,6.89,-1.571428571428576
2002-03-01,127.4,95.7,198.1,9975.9,60422.0,7.01,1.7416545718432528
2002-04-01,125.5,93.0,198.5,10011.3,60416.0,6.98,-0.42796005706133183
2002-05-01,124.7,96.9,198.9,10044.8,60410.0,6.81,-2.435530085959897
2002-06-01,119.7,92.4,199.5,10067.0,60404.0,6.65,-2.349486049926568
2002-07-01,122.6,88.1,200.0,10035.0,60398.0,6.48,-2.5563909774436078
2002-08-01,126.8,87.6,200.3,10028.9,60391.0,6.29,-2.9320987654321047
2002-09-01,129.1,86.1,200.8,10032.9,60385.0,6.09,-3.1796502384737706
2002-10-01,130.5,80.6,201.3,10060.6,60379.0,6.11,0.3284072249589567
2002-11-01,129.9,84.2,201.9,10090.6,60372.0,6.07,-0.654664484451719
2002-12-01,128.0,86.7,202.4,10124.3,60366.0,6.05,-0.32948929159803064
2003-01-01,134.3,82.4,203.2,10124.6,60360.0,5.92,-2.1487603305785106
2003-02-01,135.6,79.9,203.5,10098.2,60342.0,5.84,-1.3513513513513526
2003-03-01,135.3,77.6,204.0,10124.0,60325.0,5.74,-1.7123287671232816
2003-04-01,134.9,86.0,204.5,10176.9,60308.0,5.81,1.2195121951219408
2003-05-01,134.1,92.1,205.0,10254.7,60290.0,5.48,-5.6798623063683165
2003-06-01,131.1,89.7,205.3,10285.0,60272.0,5.23,-4.562043795620437
