observation_date,new_house_sales,existing_house_sales,producer_price_index_material,new_houses_months_supply,existing_houses_months_supply,house_starts,employee_costs
2000-01-01,310,5230.0,142.4,4.6,4.2,1636,71511.75
2000-02-01,305,5120.0,142.7,3.8,4.7,1737,71833.23
2000-03-01,310,5190.0,143.2,3.6,4.1,1604,72768.16
2000-04-01,299,5200.0,143.2,3.9,4.6,1626,72141.0
2000-05-01,302,5110.0,142.2,4.0,4.6,1575,71778.93000000001
2000-06-01,308,5130.0,142.4,4.3,4.7,1559,71840.23000000001
2000-07-01,300,5110.0,141.9,4.0,4.6,1463,72197.18999999999
2000-08-01,303,5170.0,141.2,4.1,4.7,1541,71778.06
2000-09-01,301,5290.0,141.3,4.3,4.4,1507,71592.5
2000-10-01,305,5250.0,141.1,4.2,4.5,1549,71317.64
2000-11-01,309,5350.0,140.8,4.8,4.2,1551,70829.82
2000-12-01,301,5100.0,140.6,4.6,4.4,1532,70233.31999999999
2001-01-01,298,5100.0,140.3,4.1,4.2,1600,69121.23999999999
2001-02-01,291,5230.0,140.9,3.5,4.5,1625,69189.3
2001-03-01,286,5450.0,141.0,3.1,4.4,1590,68864.4
2001-04-01,288,5320.0,141.3,3.5,4.8,1649,68779.2
2001-05-01,293,5270.0,143.4,3.7,4.6,1605,69130.0
2001-06-01,302,5430.0,143.7,3.8,4.7,1636,69696.24
2001-07-01,306,5430.0,142.4,4.0,4.4,1670,70031.36
2001-08-01,310,5480.0,142.4,4.2,4.9,1567,70205.64
2001-09-01,310,5230.0,142.4,4.7,5.0,1562,70461.0
2001-10-01,314,5250.0,141.1,4.7,4.6,1540,70888.18
2001-11-01,313,5240.0,140.8,4.6,5.0,1602,71162.88
2001-12-01,310,5490.0,140.1,4.7,4.1,1568,71501.52
2002-01-01,313,5860.0,140.3,4.7,4.3,1698,71350.64
2002-02-01,309,5900.0,140.3,3.7,4.6,1829,72335.9
2002-03-01,307,5630.0,140.9,3.5,4.6,1642,72850.56
2002-04-01,320,5670.0,141.3,3.8,4.9,1592,72827.52
2002-05-01,327,5640.0,141.2,3.7,4.7,1764,73215.87999999999
2002-06-01,328,5510.0,141.1,3.9,4.9,1717,73320.66
2002-07-01,333,5410.0,141.3,4.1,4.6,1655,73673.59999999999
2002-08-01,333,5360.0,141.6,3.7,5.0,1633,74414.62000000001
